features_Chandelier_8_accelerometer.mat,3,8
features_SpaceOddity_8_accelerometer.mat,13,8
features_AladdinSane_10_accelerometer.mat,6,10
features_CosmicLove_10_accelerometer.mat,15,10
features_LeavingSong_10_accelerometer.mat,12,10
features_SpaceOddity_10_accelerometer.mat,13,10
features_AnotherStar_11_accelerometer.mat,7,11
features_Chandelier_11_accelerometer.mat,3,11
features_LeavingSong_11_accelerometer.mat,12,11
features_SacreDuPrintemps_11_accelerometer.mat,11,11
features_SpaceOddity_11_accelerometer.mat,13,11
features_CosmicLove_13_accelerometer.mat,15,13
features_SacreDuPrintemps_13_accelerometer.mat,11,13
features_Chandelier_15_accelerometer.mat,3,15
features_LeavingSong_16_accelerometer.mat,12,16
features_SacreDuPrintemps_16_accelerometer.mat,11,16
features_CosmicLove_20_accelerometer.mat,15,20
features_DryAndDusty_20_accelerometer.mat,5,20
features_LeavingSong_20_accelerometer.mat,12,20
features_SacreDuPrintemps_20_accelerometer.mat,11,20
features_AladdinSane_23_accelerometer.mat,6,23
features_DryAndDusty_23_accelerometer.mat,5,23
features_Tonight_23_accelerometer.mat,14,23
